Departamento,Provincia,Distrito,Pobl_pobre
Amazonas,Chachapoyas,null,0
Amazonas,Bagua,null,0
Amazonas,Bongará,null,0
Amazonas,Condorcanqui,null,0
Amazonas,Luya,null,0
Amazonas,Rodríguez de Mendoza,null,0
Amazonas,Utcubamba,null,0
Áncash,Huaraz,null,0
Áncash,Aija,null,0
Áncash,Antonio Raymondi,null,0
Áncash,Asunción,null,0
Áncash,Bolognesi,null,0
Áncash,Carhuaz,null,0
Áncash,Carlos Fermín Fitzcarrald,null,0
Áncash,Casma,null,0
Áncash,Corongo,null,0
Áncash,Huari,null,0
Áncash,Huarmey,null,0
Áncash,Huaylas,null,0
Áncash,Mariscal Luzuriaga,null,0
Áncash,Ocros,null,0
Áncash,Pallasca,null,0
Áncash,Pomabamba,null,0
Áncash,Recuay,null,0
Áncash,Santa,null,0
Áncash,Sihuas,null,0
Áncash,Yungay,null,0
Apurímac,Abancay,null,0
Apurímac,Andahuaylas,null,0
Apurímac,Antabamba,null,0
Apurímac,Aymaraes,null,0
Apurímac,Cotabambas,null,0
Apurímac,Chincheros,null,0
Apurímac,Grau,null,0
Arequipa,Arequipa,null,0
Arequipa,Camaná,null,0
Arequipa,Caravelí,null,0
Arequipa,Castilla,null,0
Arequipa,Caylloma,null,0
Arequipa,Condesuyos,null,0
Arequipa,Islay,null,0
Arequipa,La Uniòn,null,0
Ayacucho,Huamanga,null,0
Ayacucho,Cangallo,null,0
Ayacucho,Huanca Sancos,null,0
Ayacucho,Huanta,null,0
Ayacucho,La Mar,null,0
Ayacucho,Lucanas,null,0
Ayacucho,Parinacochas,null,0
Ayacucho,Sucre,null,0
Ayacucho,Víctor Fajardo,null,0
Ayacucho,Vilcas Huamán,null,0
Cajamarca,Cajamarca,null,0
Cajamarca,Cajabamba,null,0
Cajamarca,Celendín,null,0
Cajamarca,Chota,null,0
Cajamarca,Contumazá,null,0
Cajamarca,Cutervo,null,0
Cajamarca,Hualgayoc,null,0
Cajamarca,Jaén,null,0
Cajamarca,San Ignacio,null,0
Cajamarca,San Marcos,null,0
Cajamarca,San Pablo,null,0
Cajamarca,Santa Cruz,null,0
Callao,Prov. Const. del Callao,null,0
Cusco,Cusco,null,0
Cusco,Acomayo,null,0
Cusco,Anta,null,0
Cusco,Calca,null,0
Cusco,Canas,null,0
Cusco,Canchis,null,0
Cusco,Chumbivilcas,null,0
Cusco,Espinar,null,0
Cusco,La Convención,null,0
Cusco,Paruro,null,0
Cusco,Paucartambo,null,0
Cusco,Quispicanchi,null,0
Cusco,Urubamba,null,0
Huancavelica,Huancavelica,null,0
Huancavelica,Acobamba,null,0
Huancavelica,Angaraes,null,0
Huancavelica,Castrovirreyna,null,0
Huancavelica,Churcampa,null,0
Huancavelica,Huaytará,null,0
Huancavelica,Tayacaja,null,0
Huánuco,Huánuco,null,0
Huánuco,Ambo,null,0
Huánuco,Dos de Mayo,null,0
Huánuco,Huacaybamba,null,0
Huánuco,Huamalíes,null,0
Huánuco,Leoncio Prado,null,0
Huánuco,Marañón,null,0
Huánuco,Pachitea,null,0
Huánuco,Puerto Inca,null,0
Huánuco,Lauricocha,null,0
Huánuco,Yarowilca,null,0
Ica,Ica,null,0
Ica,Chincha,null,0
Ica,Nasca,null,0
Ica,Palpa,null,0
Ica,Pisco,null,0
Junín,Huancayo,null,0
Junín,Concepción,null,0
Junín,Chanchamayo,null,0
Junín,Jauja,null,0
Junín,Junín,null,0
Junín,Satipo,null,0
Junín,Tarma,null,0
Junín,Yauli,null,0
Junín,Chupaca,null,0
La Libertad,Trujillo,null,0
La Libertad,Ascope,null,0
La Libertad,Bolívar,null,0
La Libertad,Chepén,null,0
La Libertad,Julcán,null,0
La Libertad,Otuzco,null,0
La Libertad,Pacasmayo,null,0
La Libertad,Pataz,null,0
La Libertad,Sánchez Carrión,null,0
La Libertad,Santiago de Chuco,null,0
La Libertad,Gran Chimú,null,0
La Libertad,Virú,null,0
Lambayeque,Chiclayo,Chiclayo,5
Lambayeque,Chiclayo,Chongoyape,7
Lambayeque,Chiclayo,Eten,5
Lambayeque,Chiclayo,Eten Puerto,8
Lambayeque,Chiclayo,José Leonardo Ortiz,3
Lambayeque,Chiclayo,La Victoria,3
Lambayeque,Chiclayo,Lagunas,3
Lambayeque,Chiclayo,Monsefu,3
Lambayeque,Chiclayo,Nueva Arica,3
Lambayeque,Chiclayo,Oyotun,3
Lambayeque,Chiclayo,Picsi,3
Lambayeque,Chiclayo,Pimentel,3
Lambayeque,Chiclayo,Reque,3
Lambayeque,Chiclayo,Santa Rosa,3
Lambayeque,Chiclayo,Saña,3
